study_hours,attendance,assignment_score,previous_score,sleep_hours,extracurricular_hours,performance
5.3,74.1,55.0,85.7,5.4,1.9,Average
4.1,65.7,74.3,69.5,9.0,1.5,Average
2.6,80.5,81.1,79.7,4.7,3.0,Average
4.2,95.7,57.2,82.9,7.2,1.8,Average
5.6,87.4,79.6,85.3,7.3,4.5,Average
5.3,68.9,66.4,69.8,7.8,0.5,Average
1.8,60.9,72.4,93.3,6.9,4.6,Average
6.7,66.6,89.5,63.9,8.1,3.7,Average
7.7,61.3,98.0,86.6,7.8,4.9,Excellent
7.8,91.2,61.9,82.4,4.6,2.7,Average
5.5,81.3,89.3,91.4,5.0,1.2,Excellent
0.7,94.8,73.7,89.9,5.5,0.3,Average
2.8,73.4,48.4,91.8,5.9,2.5,At Risk
1.2,94.9,48.1,62.2,7.5,3.7,At Risk
6.1,62.0,64.9,40.9,6.7,2.0,Average
7.6,56.5,62.2,61.6,8.8,4.3,Average
4.6,99.0,61.5,58.9,5.4,0.6,Average
6.9,75.5,79.8,73.5,7.2,0.1,Excellent
1.4,80.4,44.1,80.9,5.4,1.1,At Risk
7.0,69.8,48.9,89.0,4.5,4.3,Average
2.4,62.9,79.7,36.5,4.6,3.9,At Risk
2.3,69.6,50.5,38.1,7.8,2.6,At Risk
6.3,78.1,46.5,65.2,8.8,0.2,Average
6.4,94.0,71.3,62.5,8.8,0.3,Average
5.6,77.1,94.6,39.4,4.9,3.0,Average
1.0,67.4,78.0,67.9,6.0,5.0,At Risk
5.0,59.5,82.1,86.2,7.4,3.8,Average
5.9,64.7,67.1,48.7,6.0,2.3,Average
3.7,84.9,62.5,44.2,8.7,0.3,Average
6.7,59.2,45.8,79.3,8.2,2.8,Average
3.0,60.5,61.2,74.9,7.9,4.3,At Risk
5.9,98.6,76.0,56.1,7.1,1.1,Average
1.3,93.0,62.1,80.8,7.1,4.0,At Risk
6.8,98.9,89.1,71.8,7.4,0.1,Excellent
2.5,63.1,82.2,53.5,6.0,0.0,At Risk
7.0,80.5,64.0,43.5,7.3,0.2,Average
3.6,70.3,62.2,78.3,8.0,2.8,Average
1.1,57.4,49.4,72.1,7.5,1.4,At Risk
3.8,67.3,85.3,41.8,6.4,1.4,At Risk
5.6,76.9,80.0,37.7,6.3,3.0,Average
2.1,61.2,55.3,54.7,4.5,3.7,At Risk
1.8,72.1,82.2,65.0,8.3,4.0,Average
0.8,55.8,95.3,86.7,7.1,2.9,Average
5.8,73.8,46.9,36.3,6.0,4.0,At Risk
7.4,59.0,90.7,49.6,7.1,2.6,Average
3.5,69.0,60.4,55.0,5.3,2.6,At Risk
7.3,70.7,83.6,84.1,8.2,1.2,Excellent
1.6,63.9,76.1,80.6,7.4,0.9,At Risk
6.2,89.2,66.9,90.4,7.0,3.2,Average
5.2,93.9,77.6,44.1,4.8,2.2,Average
0.9,77.8,58.6,62.1,4.8,4.2,At Risk
1.1,93.9,91.3,71.9,6.8,2.3,Average
7.2,75.2,88.6,74.1,5.9,2.4,Excellent
1.6,57.8,46.2,88.9,6.0,3.6,At Risk
2.4,74.7,66.4,66.4,5.2,1.9,At Risk
2.6,73.4,60.3,70.9,8.1,3.2,Average
5.6,67.8,83.4,74.4,8.6,4.4,Average
3.0,81.2,48.5,56.0,8.9,3.5,At Risk
7.5,68.9,62.6,82.5,8.2,3.4,Excellent
6.7,88.2,81.1,66.6,7.4,2.1,Excellent
1.9,64.6,96.9,64.2,5.5,0.7,Average
1.1,93.0,46.1,81.3,8.3,4.4,Average
6.2,60.9,62.6,44.7,8.2,3.9,Average
6.6,62.4,66.3,59.7,7.5,1.2,Average
6.1,75.2,72.0,53.6,8.1,2.3,Average
6.8,71.6,96.8,94.1,6.6,1.4,Excellent
7.7,91.8,88.1,43.3,5.6,3.2,Excellent
7.1,80.0,46.2,85.8,8.3,1.4,Excellent
7.3,61.6,66.2,91.8,5.5,2.3,Average
3.1,56.2,43.2,65.1,5.6,5.0,At Risk
7.5,92.8,79.0,82.5,5.1,1.4,Excellent
6.7,86.3,48.3,77.3,6.5,0.0,Average
6.8,79.7,83.6,66.7,5.0,1.4,Average
2.8,57.1,65.2,82.6,6.6,0.6,Average
0.6,78.2,54.5,43.6,6.4,3.1,At Risk
2.3,73.7,79.9,40.1,8.9,0.3,At Risk
7.9,79.9,63.4,63.2,7.4,4.9,Excellent
2.4,55.7,87.3,55.7,7.8,3.1,At Risk
3.0,57.0,72.8,83.8,5.3,3.9,At Risk
4.0,86.3,77.9,83.7,4.8,3.9,Average
0.8,64.0,42.5,91.0,6.8,4.9,At Risk
4.6,66.4,85.2,46.5,6.1,3.9,Average
1.4,71.6,93.4,79.6,8.5,1.9,Average
7.8,77.3,69.9,90.5,6.8,4.0,Excellent
5.0,92.0,72.7,54.3,4.9,3.3,Average
2.8,82.1,65.6,76.4,6.1,0.2,Average
8.0,67.4,98.8,91.9,4.8,3.2,Excellent
3.2,91.0,80.8,92.2,5.1,3.0,Average
1.0,90.0,62.0,58.0,7.1,3.0,At Risk
5.6,97.7,62.3,80.8,7.1,2.6,Average
2.4,60.1,84.1,64.9,6.2,2.8,Average
2.5,66.7,66.8,94.8,5.8,4.6,Average
6.9,75.3,93.9,61.7,4.9,3.4,Average
6.8,69.4,60.8,38.9,6.9,4.5,Average
7.5,83.7,87.6,65.5,5.0,1.0,Average
1.5,90.6,41.6,68.2,6.2,4.0,At Risk
1.1,68.9,100.0,78.1,6.9,3.8,Average
6.7,58.3,98.3,73.5,6.5,3.4,Average
6.4,83.8,50.9,93.0,6.4,4.6,Excellent
0.9,60.6,49.2,44.9,6.0,3.5,At Risk
7.2,93.1,55.0,73.1,7.0,0.6,Excellent
2.8,79.0,70.2,45.1,8.7,0.8,At Risk
5.0,92.9,73.8,84.5,4.6,0.2,Average
5.3,81.0,79.1,81.0,6.4,3.2,Average
2.7,98.0,69.0,83.3,7.6,1.5,Average
1.0,57.7,66.4,64.1,5.4,3.0,At Risk
6.0,93.7,98.5,42.8,6.2,2.8,Excellent
2.9,76.0,56.0,49.9,4.9,1.5,At Risk
2.4,93.9,49.6,54.6,7.1,1.6,Average
6.2,77.4,70.9,64.9,5.9,0.1,Average
7.8,64.7,61.2,38.0,6.7,4.4,Average
5.4,76.2,72.2,85.8,6.4,4.4,Average
3.2,73.0,74.2,46.7,7.0,0.4,At Risk
4.3,89.4,56.8,94.3,7.6,0.6,Average
6.5,70.3,96.3,80.3,5.4,2.5,Excellent
4.3,57.0,48.2,55.0,6.6,2.3,At Risk
3.0,82.6,49.8,94.4,7.8,1.5,Average
3.0,92.3,71.9,77.5,5.8,4.1,Average
7.8,81.3,87.8,78.5,7.6,0.1,Excellent
4.1,98.5,87.0,81.6,7.1,3.6,Average
5.2,82.9,90.5,43.9,7.6,0.2,Average
7.6,59.9,41.1,53.8,5.2,3.5,Average
7.4,94.3,84.2,38.7,5.1,1.0,Excellent
2.9,84.8,71.5,53.8,5.3,4.6,At Risk
6.3,87.4,78.6,76.6,7.2,1.0,Excellent
2.3,80.1,53.5,93.4,5.8,1.4,Average
2.9,70.7,96.0,82.7,5.7,0.6,Average
5.6,72.1,98.8,84.1,8.8,4.0,Excellent
5.9,70.6,66.5,50.4,6.7,1.0,Average
4.5,97.0,81.8,43.2,7.3,2.9,Average
4.5,83.7,43.1,59.8,7.7,0.5,Average
6.3,55.2,73.0,90.7,6.3,4.7,Average
2.0,98.4,59.3,73.8,8.6,0.4,Average
4.8,79.1,83.4,91.2,8.6,0.9,Excellent
7.4,99.9,63.8,64.7,8.7,4.8,Excellent
7.4,94.5,40.6,69.1,5.0,4.9,Average
4.6,77.2,96.3,86.1,6.6,1.0,Excellent
1.3,62.3,67.5,50.4,5.3,3.7,At Risk
6.2,62.9,91.4,88.8,8.2,2.6,Average
1.2,85.1,51.1,43.4,6.0,1.2,At Risk
6.2,97.9,58.1,78.4,4.6,3.3,Average
5.7,57.8,47.1,53.4,6.3,2.5,Average
2.8,60.3,95.0,52.7,7.3,1.1,At Risk
1.5,61.9,84.9,71.3,6.4,2.7,At Risk
5.5,64.8,54.8,80.3,8.4,0.4,Average
3.9,86.7,44.7,68.9,4.8,2.7,At Risk
1.6,69.8,71.2,42.0,5.4,2.9,At Risk
1.2,78.0,88.5,62.2,6.8,2.3,Average
6.6,87.5,63.8,84.0,7.9,2.9,Excellent
0.8,70.5,43.8,94.6,8.7,0.3,At Risk
3.6,89.6,85.9,93.7,7.4,2.1,Average
7.9,72.2,92.2,89.4,6.2,3.4,Excellent
5.4,70.6,50.7,67.2,6.9,3.6,Average
2.2,55.2,41.4,52.9,7.5,2.7,At Risk
2.4,70.6,56.5,91.2,7.8,0.6,Average
6.6,73.9,86.0,88.0,4.6,1.0,Excellent
5.0,86.6,42.9,79.4,6.3,1.2,Average
2.1,93.9,43.4,65.2,5.8,4.1,At Risk
5.0,85.3,59.2,53.1,5.1,3.3,Average
2.2,68.5,43.7,91.9,8.5,4.6,At Risk
4.2,98.8,96.5,75.3,8.0,1.6,Average
3.6,61.7,62.6,80.3,6.6,4.2,Average
6.5,96.2,73.7,93.1,7.0,0.7,Excellent
2.3,64.2,78.8,90.3,8.3,0.5,Average
2.5,85.3,76.2,87.4,5.3,3.8,Average
5.9,80.1,68.8,87.2,6.0,4.8,Excellent
7.7,60.3,100.0,63.7,5.6,3.0,Excellent
2.0,96.2,73.1,81.5,6.2,2.7,Average
4.3,77.4,45.9,93.9,6.6,4.2,Average
7.4,71.7,64.8,68.8,5.5,0.7,Average
4.8,73.8,49.1,54.8,6.2,4.2,Average
4.2,84.5,81.1,50.4,8.2,4.8,Average
1.8,90.8,50.2,78.2,6.7,4.6,At Risk
4.6,83.9,43.5,37.0,8.3,4.7,At Risk
3.6,92.9,53.9,77.4,4.5,2.5,Average
3.3,82.8,80.0,72.0,6.7,2.4,Average
0.6,78.8,56.5,93.6,4.6,4.1,At Risk
5.6,91.3,94.6,41.4,4.9,0.7,Average
6.6,67.0,63.8,57.4,6.3,2.8,Average
7.9,65.2,81.0,85.9,7.4,4.3,Excellent
3.3,79.9,43.4,35.6,5.3,2.5,At Risk
3.8,90.3,74.0,86.5,4.9,2.6,Average
7.0,94.9,68.5,37.8,4.8,4.6,Average
7.2,80.4,42.0,90.7,5.9,4.8,Average
5.8,72.9,44.6,44.7,5.6,4.2,At Risk
3.4,95.3,59.9,80.3,5.1,4.9,Average
7.8,57.4,66.2,85.3,6.0,3.8,Average
7.7,72.9,86.4,36.8,5.7,5.0,Average
7.6,74.4,80.8,74.6,4.9,3.1,Excellent
6.5,87.1,44.9,44.3,7.7,3.2,Average
1.3,55.2,58.5,56.6,5.7,0.7,At Risk
1.9,75.2,73.3,59.5,4.6,1.8,At Risk
2.9,72.3,57.5,58.3,4.9,4.5,At Risk
7.3,99.0,74.3,45.2,6.2,0.7,Average
1.0,74.6,65.3,64.1,4.8,1.3,At Risk
2.3,83.1,75.6,46.7,5.0,1.5,At Risk
5.2,91.2,59.8,55.1,8.2,4.3,Average
7.8,61.1,59.2,91.8,5.4,1.6,Excellent
2.7,86.3,69.5,69.6,5.6,1.9,Average
6.6,72.7,46.8,68.8,7.2,2.7,Average
7.6,75.8,82.5,61.3,5.8,3.5,Average
6.6,90.8,64.5,65.0,7.4,1.2,Average
6.4,58.3,99.4,63.8,6.3,2.5,Average
7.4,86.1,72.6,82.4,6.1,4.5,Excellent
1.1,89.6,79.5,56.3,7.4,0.2,At Risk
7.9,85.5,64.0,80.2,8.8,2.2,Excellent
4.3,78.3,74.8,69.5,6.5,2.0,Average
6.3,81.5,70.0,55.7,4.6,0.5,Average
1.4,97.3,48.5,53.7,6.5,1.0,At Risk
4.1,76.4,66.3,76.8,5.9,1.5,Average
6.9,84.2,80.6,44.9,8.9,1.2,Average
1.8,62.2,73.6,92.5,5.5,2.0,Average
3.7,56.3,76.8,46.8,7.2,1.9,Average
5.8,64.3,85.1,83.5,4.8,0.5,Average
2.9,75.6,55.7,86.8,6.9,3.2,Average
5.0,82.5,75.2,55.9,8.3,3.1,Average
2.7,82.7,45.1,43.0,5.0,1.5,At Risk
1.9,86.2,70.6,60.1,5.1,1.9,At Risk
5.7,84.0,100.0,68.3,6.7,0.7,Excellent
2.9,75.3,43.2,56.5,4.5,0.7,At Risk
4.3,77.3,81.1,59.9,8.3,2.4,Average
1.1,56.4,85.7,52.5,5.7,2.7,At Risk
6.1,89.5,73.0,41.8,5.0,3.9,Average
6.7,71.5,89.4,37.5,7.7,2.7,Average
6.7,88.8,57.9,95.0,6.5,1.7,Excellent
6.6,74.8,99.6,81.5,5.6,4.1,Excellent
5.8,83.5,50.0,43.4,5.4,1.0,Average
0.9,70.8,56.9,67.3,6.0,3.5,At Risk
6.9,99.3,80.8,40.7,8.8,3.9,Excellent
7.4,99.7,92.0,42.6,8.4,1.2,Excellent
6.2,85.4,69.4,69.6,5.7,2.1,Average
3.9,83.5,92.8,40.6,6.8,1.4,Average
7.6,69.7,40.1,81.4,7.8,3.7,Average
3.9,84.9,61.5,38.8,6.9,1.1,At Risk
2.5,92.3,60.3,69.7,7.0,2.4,Average
3.1,85.7,42.9,41.0,8.0,2.3,At Risk
3.8,55.0,97.5,47.1,7.6,0.7,Average
5.4,62.2,96.0,51.4,7.4,1.3,Average
1.7,72.8,58.3,77.0,5.6,3.3,At Risk
5.8,55.0,68.6,43.0,5.5,3.4,Average
6.6,99.5,65.3,42.9,4.8,1.9,Average
6.0,59.6,58.8,87.9,5.1,3.9,Average
7.9,61.4,71.8,35.5,7.4,2.2,Average
5.9,83.3,49.1,59.7,7.6,4.3,Average
6.1,81.5,63.0,92.8,5.9,0.7,Average
2.6,58.8,73.2,71.0,7.2,3.9,At Risk
5.4,68.6,71.1,65.6,7.9,1.5,Average
0.9,95.4,97.3,64.7,5.0,2.5,At Risk
7.8,99.4,96.0,42.9,8.4,2.8,Excellent
3.2,85.7,85.8,92.3,8.0,0.1,Average
0.8,57.7,87.4,65.4,7.3,2.5,At Risk
3.6,86.6,44.9,67.2,7.3,1.4,Average
2.0,91.4,72.2,58.4,7.4,4.2,Average
5.6,58.0,81.9,78.8,8.3,0.3,Average
3.9,82.4,58.6,79.5,7.8,0.6,Average
5.8,86.6,49.8,92.2,6.9,3.9,Average
1.5,90.2,56.1,88.2,8.0,0.1,Average
6.6,67.2,43.8,77.7,7.1,0.4,Average
4.2,80.5,62.1,50.3,5.0,2.9,Average
5.9,65.3,70.5,37.6,8.4,1.2,Average
1.6,96.9,91.4,68.2,8.6,3.7,Average
3.6,69.5,65.0,78.2,5.7,0.4,Average
7.3,63.1,88.3,93.9,8.8,0.3,Excellent
4.0,67.7,90.7,54.6,7.0,0.0,Average
2.8,83.0,67.8,70.5,6.7,3.9,Average
2.0,95.5,85.6,49.7,4.5,2.1,Average
6.8,94.5,97.1,35.1,7.5,4.2,Excellent
6.0,59.7,71.8,49.3,6.7,0.3,Average
1.2,96.5,93.8,66.2,7.7,1.9,Average
7.8,58.8,45.7,43.0,8.2,0.4,Average
7.7,65.7,55.7,53.9,8.1,3.5,Average
6.0,69.3,56.3,39.5,5.4,3.9,Average
1.7,76.0,64.4,67.2,8.8,1.0,At Risk
